Actresss,Year,Title [ a ],Role(s),Notes,Ref(s),,,
Madhuri Dixit,1984,Abodh,Gauri,,[ 27 ],,,
Madhuri Dixit,1985,Awara Baap,Barkha,,[ 28 ],,,
Madhuri Dixit,1986,Swati,Anandi,,[ 29 ],,,
Madhuri Dixit,1987,Hifazat,Janki,,[ 30 ],,,
Madhuri Dixit,1987,Uttar Dakshin,Chanda,,[ 31 ],,,
Madhuri Dixit,1987,Mohre,Maya,,[ 32 ],,,
Madhuri Dixit,1988,Khatron Ke Khiladi,Kavita,,[ 33 ],,,
Madhuri Dixit,1988,Dayavan,Neelu Shakti,,[ 34 ],,,
Madhuri Dixit,1988,Tezaab,Mohini,Nominated— Filmfare Award for Best Actress,[ 35 ],,,
Madhuri Dixit,1989,Vardi,Jaya,,[ 36 ],,,
Madhuri Dixit,1989,Ram Lakhan,Radha Shastri,,[ 37 ],,,
Madhuri Dixit,1989,Prem Pratigyaa,Laxmi Rao,Nominated—Filmfare Award for Best Actress,[ 38 ] [ 39 ],,,
Madhuri Dixit,1989,Ilaaka,Vidya,,[ 40 ],,,
Madhuri Dixit,1989,Mujrim,Sonia,,[ 41 ],,,
Madhuri Dixit,1989,Tridev,Divya Mathur,,[ 42 ],,,
Madhuri Dixit,1989,Kanoon Apna Apna,Bharathi,,[ 43 ],,,
Madhuri Dixit,1989,Parinda,Paro,,[ 44 ],,,
Madhuri Dixit,1989,Paap Ka Ant,Nisha,,[ 45 ],,,
Madhuri Dixit,1990,Maha-Sangram,Jhumri,,[ 46 ],,,
Madhuri Dixit,1990,Kishen Kanhaiya,Anju,,[ 47 ],,,
Madhuri Dixit,1990,Izzatdaar,Mohini,,[ 48 ],,,
Madhuri Dixit,1990,Dil,Madhu Mehra,Filmfare Award for Best Actress,[ 39 ] [ 49 ],,,
Madhuri Dixit,1990,Deewana Mujh Sa Nahin,Anita,,[ 50 ],,,
Madhuri Dixit,1990,Jeevan Ek Sanghursh,Madhu Sen,,[ 51 ],,,
Madhuri Dixit,1990,Sailaab,Dr. Sushma Malhotra,,[ 52 ],,,
Madhuri Dixit,1990,Jamai Raja,Rekha,,[ 53 ],,,
Madhuri Dixit,1990,Thanedaar,Chanda,,[ 54 ],,,
Madhuri Dixit,1991,Pyar Ka Devta,Radha,,[ 55 ],,,
Madhuri Dixit,1991,Khilaaf,Shweta,,[ 56 ],,,
Madhuri Dixit,1991,100 Days,Devi,,[ 57 ],,,
Madhuri Dixit,1991,Pratikar,Madhu,,[ 58 ],,,
Madhuri Dixit,1991,Saajan,Pooja,Nominated—Filmfare Award for Best Actress,[ 39 ] [ 59 ],,,
Madhuri Dixit,1991,Prahaar,Shirley,,[ 60 ],,,
Madhuri Dixit,1992,Beta,Saraswati,Filmfare Award for Best Actress,[ 39 ] [ 61 ],,,
Madhuri Dixit,1992,Zindagi Ek Jua,Juhi,,[ 62 ],,,
Madhuri Dixit,1992,Prem Deewane,Shivangi Mehra,,[ 63 ],,,
Madhuri Dixit,1992,Khel,"Seema, Jhari Bhuti",,[ 64 ],,,
Madhuri Dixit,1992,Sangeet,"Sangeeta, Nirmala",,[ 65 ],,,
Madhuri Dixit,1992,Dharavi,Dreamgirl,,[ 66 ],,,
Madhuri Dixit,1993,Sahibaan,Sahibaan,,[ 67 ],,,
Madhuri Dixit,1993,Khalnayak,Ganga Gangotri Devi,Nominated—Filmfare Award for Best Actress,[ 39 ] [ 68 ],,,
Madhuri Dixit,1993,Phool,Guddi,,[ 69 ],,,
Madhuri Dixit,1993,Dil Tera Aashiq,"Savitri Devi , Sonia Khanna",,[ 70 ],,,
Madhuri Dixit,1993,Aasoo Bane Angaarey,"Usha, Madhu",,[ 71 ],,,
Madhuri Dixit,1994,Anjaam,Shivani Dixit Chopra,Nominated—Filmfare Award for Best Actress,[ 39 ] [ 72 ],,,
Madhuri Dixit,1994,Hum Aapke Hain Koun..!,Nisha Choudhury,Filmfare Award for Best Actress,[ 39 ] [ 73 ],,,
Madhuri Dixit,1995,Raja,Madhu Garhwal,Nominated—Filmfare Award for Best Actress,[ 39 ] [ 74 ],,,
Madhuri Dixit,1995,Yaraana,Lalita/Shikha,Nominated—Filmfare Award for Best Actress,[ 39 ] [ 75 ],,,
Madhuri Dixit,1995,Paappi Devataa,Reshma,,[ 76 ],,,
Madhuri Dixit,1995,Daughters of This Century,–,,[ 77 ],,,
Madhuri Dixit,1996,Prem Granth,Kajri,,[ 78 ],,,
Madhuri Dixit,1996,Rajkumar,Rajkumari Vishaka,,[ 79 ],,,
Madhuri Dixit,1997,Koyla,Gauri,,[ 80 ],,,
Madhuri Dixit,1997,Mahaanta,Jenny Pinto,,[ 81 ],,,
Madhuri Dixit,1997,Mrityudand,Ketki,,[ 82 ],,,
Madhuri Dixit,1997,Mohabbat,Shweta Sharma,,[ 83 ],,,
Madhuri Dixit,1997,Dil To Pagal Hai,Pooja Nair,Filmfare Award for Best Actress,[ 84 ] [ 85 ],,,
Madhuri Dixit,1998,Bade Miyan Chote Miyan,Herself,Special appearance,[ 86 ],,,
Madhuri Dixit,1998,Wajood,Apoorva Choudhury,,[ 87 ],,,
Madhuri Dixit,1999,Aarzoo,Pooja,,[ 88 ],,,
Madhuri Dixit,2000,Pukar,Anjali,Nominated—Filmfare Award for Best Actress,[ 39 ] [ 89 ],,,
Madhuri Dixit,2000,Gaja Gamini,"Gaja Gamini , Sangita, Shakuntala, Monika, Mona Lisa",,[ 90 ],,,
Madhuri Dixit,2001,Yeh Raaste Hain Pyaar Ke,Neha,,[ 91 ],,,
Madhuri Dixit,2001,Lajja,Janaki,Nominated— Filmfare Award for Best Supporting Actress,[ 39 ] [ 92 ],,,
Madhuri Dixit,2002,Hum Tumhare Hain Sanam,Radha,,[ 93 ],,,
Madhuri Dixit,2002,Devdas,Chandramukhi,"Filmfare Award for Best Supporting Actress; Also playback singer for song ""Kaahe Chhed""",[ 18 ] [ 94 ],,,
Madhuri Dixit,2007,Aaja Nachle,Dia,"Nominated—Filmfare Award for Best Actress; Also playback singer for song ""Soniye Mil Ja""",[ 39 ] [ 95 ] [ 96 ],,,
Madhuri Dixit,2013,Bombay Talkies,Herself,"Special appearance in the song "" Apna Bombay Talkies """,[ 97 ],,,
Madhuri Dixit,2013,Yeh Jawaani Hai Deewani,Mohini,"Special appearance in the song ""Ghagra""",[ 98 ],,,
Madhuri Dixit,2014,Dedh Ishqiya,Begum Para,Nominated—Filmfare Award for Best Actress,[ 99 ] [ 100 ],,,
Madhuri Dixit,2014,Gulaab Gang,Rajjo,"Also playback singer for the song ""Rangi Saari Gulaabi""",[ 101 ] [ 102 ],,,
Madhuri Dixit,2018,Bucket List,Madhura Sane,Marathi film,[ 103 ],,,
Madhuri Dixit,2018,Mowgli: Legend of the Jungle,Nisha,Voiceover in Hindi dubbed version,[ 104 ],,,
Madhuri Dixit,2019,Total Dhamaal,Bindu Patel,,[ 105 ],,,
Madhuri Dixit,2019,15 August,–,Producer,[ 106 ],,,
Madhuri Dixit,2019,Kalank,Bahaar Begum,Nominated—Filmfare Award for Best Supporting Actress,[ 107 ],,,
Madhuri Dixit,2022,Maja Ma,Pallavi Patel,,[ 108 ],,,
Madhuri Dixit,2023,Panchak,–,Producer,[ 109 ],,,
Madhuri Dixit,2024,Bhool Bhulaiyaa 3,"Mandira, Anjulika",,[ 110 ],,,
Madhuri Dixit,2026,Maa Behen †,Rekha,Netflix film,[ 111 ],,,
