Rank,Sno,Actor,Gender,Year,Film,nationalist_sentiments,primary_genre_final
1,1,Shah Rukh Khan,Male,1992,Deewana,no,Romance
2,2,Shah Rukh Khan,Male,1992,Chamatkar,no,Fantasy/Sci-Fi/Horror
3,3,Shah Rukh Khan,Male,1992,Raju Ban Gaya Gentleman,no,Romance
4,4,Shah Rukh Khan,Male,1992,Dil Aashna Hai,no,Romance
5,5,Shah Rukh Khan,Male,1993,Maya Memsaab,no,Thriller/Crime
6,6,Shah Rukh Khan,Male,1993,King Uncle,no,Comedy
7,7,Shah Rukh Khan,Male,1993,Baazigar,no,Thriller/Crime
8,8,Shah Rukh Khan,Male,1993,Darr,no,Thriller/Crime
9,9,Shah Rukh Khan,Male,1994,Kabhi Haan Kabhi Naa,no,Romance
10,10,Shah Rukh Khan,Male,1994,Anjaam,no,Thriller/Crime
11,11,Shah Rukh Khan,Male,1995,Karan Arjun,no,Action/Adventure
12,12,Shah Rukh Khan,Male,1995,Zamaana Deewana,no,Romance
13,13,Shah Rukh Khan,Male,1995,Guddu,no,Romance
14,14,Shah Rukh Khan,Male,1995,Oh Darling! Yeh Hai India!,yes,Comedy
15,15,Shah Rukh Khan,Male,1995,Dilwale Dulhania Le Jayenge,no,Romance
16,16,Shah Rukh Khan,Male,1995,Ram Jaane,no,Drama/Serious
17,17,Shah Rukh Khan,Male,1995,Trimurti,no,Action/Adventure
18,18,Shah Rukh Khan,Male,1996,English Babu Desi Mem,no,Romance
19,19,Shah Rukh Khan,Male,1996,Chaahat,no,Romance
20,20,Shah Rukh Khan,Male,1997,Koyla,no,Action/Adventure
21,21,Shah Rukh Khan,Male,1997,Yes Boss,no,Romance
22,22,Shah Rukh Khan,Male,1997,Pardes,yes,Romance
23,23,Shah Rukh Khan,Male,1997,Dil To Pagal Hai,no,Romance
24,24,Shah Rukh Khan,Male,1998,Duplicate,no,Action/Adventure
25,25,Shah Rukh Khan,Male,1998,Dil Se..,no,Romance
26,26,Shah Rukh Khan,Male,1998,Kuch Kuch Hota Hai,no,Romance
27,27,Shah Rukh Khan,Male,1999,Baadshah,no,Action/Adventure
28,28,Shah Rukh Khan,Male,2000,Phir Bhi Dil Hai Hindustani,yes,Romance
29,29,Shah Rukh Khan,Male,2000,Hey Ram,yes,Drama/Serious
30,30,Shah Rukh Khan,Male,2000,Josh,no,Action/Adventure
31,31,Shah Rukh Khan,Male,2000,Mohabbatein,no,Romance
32,32,Shah Rukh Khan,Male,2001,One 2 Ka 4,no,Action/Adventure
33,33,Shah Rukh Khan,Male,2001,Aśoka,yes,Action/Adventure
34,34,Shah Rukh Khan,Male,2001,Kabhi Khushi Kabhie Gham...,no,Drama/Serious
35,35,Shah Rukh Khan,Male,2002,Hum Tumhare Hain Sanam,no,Romance
36,36,Shah Rukh Khan,Male,2002,Devdas,no,Romance
37,37,Shah Rukh Khan,Male,2002,Shakti: The Power,no,Thriller/Crime
38,38,Shah Rukh Khan,Male,2003,Chalte Chalte,no,Romance
39,39,Shah Rukh Khan,Male,2003,Kal Ho Naa Ho,no,Romance
40,40,Shah Rukh Khan,Male,2004,Yeh Lamhe Judaai Ke,no,Romance
41,41,Shah Rukh Khan,Male,2004,Main Hoon Na,yes,Romance
42,42,Shah Rukh Khan,Male,2004,Veer-Zaara,yes,Romance
43,43,Shah Rukh Khan,Male,2004,Swades,yes,Drama/Serious
44,44,Shah Rukh Khan,Male,2005,Paheli,no,Fantasy/Sci-Fi/Horror
45,45,Shah Rukh Khan,Male,2006,Kabhi Alvida Naa Kehna,no,Romance
46,46,Shah Rukh Khan,Male,2006,Don: The Chase Begins Again,no,Thriller/Crime
47,47,Shah Rukh Khan,Male,2007,Chak De! India,yes,Drama/Serious
48,48,Shah Rukh Khan,Male,2007,Om Shanti Om,no,Romance
49,49,Shah Rukh Khan,Male,2008,Rab Ne Bana Di Jodi,no,Romance
50,50,Shah Rukh Khan,Male,2009,Billu,no,Comedy
51,51,Shah Rukh Khan,Male,2010,My Name Is Khan,yes,Drama/Serious
52,52,Shah Rukh Khan,Male,2011,Ra.One,no,Fantasy/Sci-Fi/Horror
53,53,Shah Rukh Khan,Male,2011,Don 2,no,Thriller/Crime
54,54,Shah Rukh Khan,Male,2012,Jab Tak Hai Jaan,no,Romance
55,55,Shah Rukh Khan,Male,2013,Chennai Express,no,Action/Adventure
56,56,Shah Rukh Khan,Male,2014,Happy New Year,no,Comedy
57,57,Shah Rukh Khan,Male,2015,Dilwale,no,Romance
58,58,Shah Rukh Khan,Male,2016,Fan,no,Thriller/Crime
59,59,Shah Rukh Khan,Male,2016,Dear Zindagi,no,Drama/Serious
60,60,Shah Rukh Khan,Male,2017,Raees,no,Thriller/Crime
61,61,Shah Rukh Khan,Male,2017,Jab Harry Met Sejal,no,Romance
62,62,Shah Rukh Khan,Male,2018,Zero,no,Romance
63,63,Shah Rukh Khan,Male,2023,Pathaan,yes,Action/Adventure
64,64,Shah Rukh Khan,Male,2023,Jawan,yes,Action/Adventure
65,65,Shah Rukh Khan,Male,2023,Dunki,no,Drama/Serious
66,66,Shah Rukh Khan,Male,2026,King,no,Action/Adventure
67,1,Hrithik Roshan,Male,2000,Kaho Naa... Pyaar Hai,no,Romance
68,2,Hrithik Roshan,Male,2000,Fiza,no,Drama/Serious
69,3,Hrithik Roshan,Male,2000,Mission Kashmir,yes,Action/Adventure
70,4,Hrithik Roshan,Male,2001,Yaadein,no,Drama/Serious
71,5,Hrithik Roshan,Male,2001,Kabhi Khushi Kabhie Gham...,no,Drama/Serious
72,6,Hrithik Roshan,Male,2002,Aap Mujhe Achche Lagne Lage,no,Romance
73,7,Hrithik Roshan,Male,2002,Na Tum Jaano Na Hum,no,Romance
74,8,Hrithik Roshan,Male,2002,Mujhse Dosti Karoge!,no,Romance
75,9,Hrithik Roshan,Male,2003,Main Prem Ki Diwani Hoon,no,Romance
76,10,Hrithik Roshan,Male,2003,Koi... Mil Gaya,no,Fantasy/Sci-Fi/Horror
77,11,Hrithik Roshan,Male,2004,Lakshya,yes,Drama/Serious
78,12,Hrithik Roshan,Male,2006,Krrish,no,Fantasy/Sci-Fi/Horror
79,13,Hrithik Roshan,Male,2006,Dhoom 2,no,Action/Adventure
80,14,Hrithik Roshan,Male,2008,Jodhaa Akbar,yes,Romance
81,15,Hrithik Roshan,Male,2010,Kites,no,Romance
82,16,Hrithik Roshan,Male,2010,Guzaarish,no,Drama/Serious
