Year,Title,Role,Notes,Ref.,Romantic interest,Year of birth of romantic interest,Age of RI,AK year of birth,AK age at movie
1987,Aaj,Karate instructor,Special appearance,[1],,,,1967,20
1991,Saugandh,Shiva Kirplani,,[28],Shantipriya,1969,22,1967,24
1991,Dancer,Raju,,[29],Mohini,1976,15,1967,24
1992,Khiladi,Raj Malhotra,,[30],Ayesha Jhulka,1972,20,1967,25
1992,Mr. Bond,Mr. Bond,,[31],Sheeba,1970,22,1967,25
1992,Deedar,Anand Malhotra,,[32],Karisma Kapoor,1974,18,1967,25
1993,Ashaant,Vijay Roy,Bilingual film,[33] [34],Ashwini Bhave,1972,21,1967,26
1993,Dil Ki Baazi,Vijay Kashyap,,[35],Ayesha Jhulka,1972,21,1967,26
1993,Kayda Kanoon,Dawood Durani,,[36],Ashwini Bhave,1972,21,1967,26
1993,Waqt Hamara Hai,Vikas Sabkuchwala,,[37],Ayesha Jhulka,1972,21,1967,26
1993,Sainik,Lieutenant. Suraj Dutt,,[38],Ashwini Bhave,1967,26,1967,26
1994,Elaan,Vishal Chaudhary,,[39],Madhoo,1969,25,1967,27
1994,Yeh Dillagi,"Vijayendra ""Vijay"" Saigal",,[40],Kajol,1974,20,1967,27
1994,Jai Kishen,Jai Verma / Kishen Verma [a],,[9] [41],Ayesha Jhulka,1972,22,1967,27
1994,Mohra,Amar Saxena,,[42],Raveena Tandon,1972,22,1967,27
1994,Main Khiladi Tu Anari,Karan Joglekar,,[43] [44],Shilpa Shetty,1975,19,1967,27
1994,Ikke Pe Ikka,Rajiv,,[45],?,?,#VALUE!,1967,27
1994,Amanaat,Amar Kumar,,[46],Heera Rajagopal,?,#VALUE!,1967,27
1994,Suhaag,Raj Sinha,,[47],Karisma Kapoor,1974,20,1967,27
1994,Zakhmi Dil,Jaidev Anand,,[48],Ashwini Bhave,1967,27,1967,27
1994,Zaalim,Ravi Pratap,,[49],Madhoo,1969,25,1967,27
1994,Hum Hain Bemisaal,Vijay Sinha,,[50],Madhoo,1969,25,1967,27
1995,Paandav,Vijay Kumar,,[51],Nandini,?,#VALUE!,1967,28
1995,Maidan-E-Jung,Karan Singh,,[52],Karisma Kapoor,1974,21,1967,28
1995,Nazar Ke Samne,Jai Kumar,,[53],Farheen,1973,22,1967,28
1995,Sabse Bada Khiladi,"Vijay ""Lallu"" Kumar",25th Film,[54],Mamta Kulkarni,1972,23,1967,28
1996,Tu Chor Main Sipahi,Amar Verma,,[55],Tabu,1971,25,1967,29
1996,Khiladiyon Ka Khiladi,Akshay Malhotra,,[56],Raveena Tandon,1974,22,1967,29
1996,Sapoot,Prem Singhania,,[57],Karisma Kapoor,1974,22,1967,29
1997,Lahoo Ke Do Rang,Sikandar Davai,,[58],Karisma Kapoor,1974,23,1967,30
1997,Insaaf,Vikram Singh Jain,,[59],Shilpa Shetty,1975,22,1967,30
1997,Daava,Arjun Sarwar,,[60],Raveena Tandon,1974,23,1967,30
1997,Tarazu,Ram Yadav,,[61],Sonali Bendre,1975,22,1967,30
1997,Mr. and Mrs. Khiladi,"Rajant ""Raja"" Kapoor (Mr. Khiladi)",,[62] [63],Juhi Chawla,1967,30,1967,30
1997,Dil To Pagal Hai,Ajay Sahni,Cameo appearance,[64],,,,1967,30
1997,Aflatoon,Rocky Chaturvedi / Raja Chaturvedi [a],,[65] [66],Urmila Matondkar,1974,23,1967,30
1998,Keemat,Dev,,[67] [68],Raveena Tandon,1974,24,1967,31
1998,Angaaray,Amar Mehra,,[69],Sonali Bendre,1975,23,1967,31
1998,Barood,Jai Sharma,,[70],Raveena Tandon,1974,24,1967,31
1999,Sangharsh,Aman Verma,,[71],Preity Zinta,1975,24,1967,32
1999,Aarzoo,Vijay Khanna / Devaa,,[72],Madhuri Dixit,1967,32,1967,32
