Franchise,Film,Category,Return on Investment,P/L
Dhoom,Dhoom,Original,358.6,P
Dhoom,Dhoom 2,Sequel,260.5,P
Dhoom,Dhoom 3,2nd Sequel,199.6,P
Ek Tha Tiger,Ek Tha Tiger,Original,235.1,P
Ek Tha Tiger,Tiger Zinda Hai,Sequel,169.1,P
Baahubali,Baahubali - The Beginning,Original,-1.0,L
Baahubali,Baahubali 2 - The Conclusion,Sequel,311.1,P
Singham,Singham,Original,244.6,P
Singham,Singham Returns,Sequel,106.3,P
Singham,Simmba ,2nd Sequel,181.8,P
Singham,Sooryavanshi,3rd Sequel,19.5,P
Tanu Weds Manu,Tanu Weds Manu,Original,168.6,P
Tanu Weds Manu,Tanu Weds Manu Returns,Sequel,524.7,P
Krrish,Koi Mil Gaya,Original,174.4,P
Krrish,Krrish,Sequel,216.4,P
Krrish,Krrish 3,2nd Sequel,206.9,P
Baaghi,Baaghi,Original,243.2,P
Baaghi,Baaghi 2,Sequel,325.5,P
Baaghi,Baaghi 3,2nd Sequel,59.9,P
Dabangg,Dabangg,Original,434.8,P
Dabangg,Dabangg 2,Sequel,196.7,P
Dabangg,Dabangg 3,2nd Sequel,22.4,P
Golmaal,Golmaal - Fun Unlimited,Original,211.5,P
Golmaal,Golmaal Returns,Sequel,128.6,P
Golmaal,Golmaal 3,2nd Sequel,239.1,P
Golmaal,Golmaal Again,3rd Sequel,119.0,P
Humpty Sharma Ki Dulhania,Humpty Sharma Ki Dulhania,Original,235.6,P
Humpty Sharma Ki Dulhania,Badrinath Ki Dulhania,Sequel,342.8,P
Housefull,Housefull,Original,147.5,P
Housefull,Housefull 2,Sequel,161.7,P
Housefull,Housefull 3,2nd Sequel,101.0,P
Housefull,Housefull 4,3rd Sequel,82.0,P
Don,Don,Original,179.9,P
Don,Don 2,Sequel,166.9,P
Race,Race,Original,124.9,P
Race,Race 2,Sequel,71.8,P
Race,Race 3,2nd Sequel,65.0,P
Dhamaal,Dhamaal,Original,167.0,P
Dhamaal,Double Dhamaal,Sequel,143.3,P
Dhamaal,Total Dhamaal,2nd Sequel,101.1,P
Jolly LLB,Jolly LLB,Original,220.7,P
Jolly LLB,Jolly LLB 2,Sequel,120.2,P
